Build Order,Object Type,Exact Name,Field,Exact Value,Status,Notes
1,Campaign,IMB_MV_Meta_Leads_RealPeople_202607,Name,IMB_MV_Meta_Leads_RealPeople_202607,PAUSED/DRAFT,Create first
1,Campaign,IMB_MV_Meta_Leads_RealPeople_202607,Objective,Leads,PAUSED/DRAFT,Leads
1,Campaign,IMB_MV_Meta_Leads_RealPeople_202607,Special Ad Categories,None / not employment,PAUSED/DRAFT,B2B practice staffing - not a job-seeker ad
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Name,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,PAUSED/DRAFT,One ad set only
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Daily Budget,$100/day,PAUSED/DRAFT,Start at $100/day for Real People creative learning. Scale only after Haylie / CMO approval.
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Geo,United States,PAUSED/DRAFT,National US
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Audience,"Lookalike (US, 1%) - MV HubSpot Clinic Prospects — Lookalike Seed",PAUSED/DRAFT,Exact 1% lookalike only - no interests
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Placements,Advantage+ Placements,PAUSED/DRAFT,Advantage+ unless CMO overrides
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Optimization,Leads / Instant Form submissions,PAUSED/DRAFT,Instant Form leads
2,Ad Set,IMB_MV_LAL1_MVHubSpotClinicProspects_US_RealPeople,Conversion Location,Instant Form,PAUSED/DRAFT,Instant Form
3,Form,IMB_MV_Form_BookDemo_RealPeople,Form Name,IMB_MV_Form_BookDemo_RealPeople,DRAFT,Create manually - not CSV
3,Form,IMB_MV_Form_BookDemo_RealPeople,Form Type,Higher Intent (recommended for lead quality),DRAFT,Higher Intent preferred
3,Form,IMB_MV_Form_BookDemo_RealPeople,Privacy Policy URL,https://www.medvirtual.ai/privacy-policy,BLOCKED,Do not publish until real URL
3,Form,IMB_MV_Form_BookDemo_RealPeople,Thank You Button URL,https://meetings.hubspot.com/call-scheduling/mv-meta-imb,BLOCKED,Do not publish until booking link
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Ad Name,IMB_MV_RP_Static_01_JessicaAdmin,PAUSED/DRAFT,Jessica · Admin / calls overload
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Primary Text,"Calls keep coming. Tasks keep stacking. Your team is already stretched.

Meet Jessica — a Jr. Medical Admin available through MedVirtual. Hire a dedicated full-time virtual staff member who works as part of your practice team.

Book a demo to request an interview.",PAUSED/DRAFT,Paste into Meta Body / Primary text
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Headline,Admin Work Piling Up?,PAUSED/DRAFT,Meta Title / Headline
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Description,Meet real MedVirtual medical admin talent.,PAUSED/DRAFT,
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,CTA,Book a Demo,PAUSED/DRAFT,Book a Demo
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Destination,IMB_MV_Form_BookDemo_RealPeople,PAUSED/DRAFT,Shared Instant Form
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Creative File,IMB_MV_RP_Static_01_JessicaAdmin.png,PAUSED/DRAFT,Source: jessica/ad-treatment-e-4x5.png
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,On-image Headline,Meet Jessica,PAUSED/DRAFT,Must appear on final creative
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Supporting Line,Jr. Medical Admin · available to interview,PAUSED/DRAFT,Must appear on final creative
4,Ad,IMB_MV_RP_Static_01_JessicaAdmin,Notes,Lead creative. Studio Profile draft — designer may polish. Do not upload Treatment C/D.,PAUSED/DRAFT,
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Ad Name,IMB_MV_RP_Static_02_ChelseaScheduling,PAUSED/DRAFT,Chelsea · Scheduling pressure
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Primary Text,"Scheduling should not consume your entire front desk.

Meet Chelsea — a Dental Virtual Assistant available through MedVirtual. Add a dedicated full-time virtual teammate your practice can interview.

Book a demo to get started.",PAUSED/DRAFT,Paste into Meta Body / Primary text
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Headline,Scheduling Taking Over?,PAUSED/DRAFT,Meta Title / Headline
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Description,Interview real MedVirtual talent.,PAUSED/DRAFT,
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,CTA,Book a Demo,PAUSED/DRAFT,Book a Demo
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Destination,IMB_MV_Form_BookDemo_RealPeople,PAUSED/DRAFT,Shared Instant Form
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Creative File,IMB_MV_RP_Static_02_ChelseaScheduling.png,PAUSED/DRAFT,Source: chelsea/ad-treatment-e-4x5.png
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,On-image Headline,Meet Chelsea,PAUSED/DRAFT,Must appear on final creative
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Supporting Line,Dental Virtual Assistant · available to interview,PAUSED/DRAFT,Must appear on final creative
5,Ad,IMB_MV_RP_Static_02_ChelseaScheduling,Notes,Skill-specific scheduling pain in copy. No Treatment C/D.,PAUSED/DRAFT,
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Ad Name,IMB_MV_RP_Static_03_AngelicaFrontDesk,PAUSED/DRAFT,Angelica · Front-desk pressure
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Primary Text,"Patients are waiting. Phones are ringing. Follow-up is stacking up.

Meet Angelica — a Front Desk Assistant available through MedVirtual. Hire dedicated virtual staff who support your front-desk workflow as part of your practice team.

Book a demo to request an interview.",PAUSED/DRAFT,Paste into Meta Body / Primary text
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Headline,Front Desk Stretched Thin?,PAUSED/DRAFT,Meta Title / Headline
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Description,Meet a real front-desk support candidate.,PAUSED/DRAFT,
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,CTA,Book a Demo,PAUSED/DRAFT,Book a Demo
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Destination,IMB_MV_Form_BookDemo_RealPeople,PAUSED/DRAFT,Shared Instant Form
